Name,Faculty Count,Publishing Count,Adjusted Publishing Count,Publishing Count Average,Adjusted Publishing Count Average
TU Wien,316,6919,2029.120238,21.89556962,6.421266576
Imperial College London,525,15646,4599.29132,29.80190476,8.760554895
BUET,13,37,9.127380952,2.846153846,0.702106227
Istanbul Technical University,32,205,55.06190476,6.40625,1.720684524
Cardiff University,125,1457,435.7001082,11.656,3.485600866
VU Amsterdam,172,3538,860.9396825,20.56976744,5.005463271
Bilkent University,53,449,149.012987,8.471698113,2.811565793
George Mason University,389,5948,1989.474933,15.29048843,5.114331448
Colorado State University,88,813,295.9833333,9.238636364,3.36344697
Iowa State University,189,2213,883.6646104,11.70899471,4.675474129
University of Illinois at Chicago,644,46946,13485.26872,72.89751553,20.93985827
Duke University,848,43981,13978.73059,51.86438679,16.48435211
UCCS,60,995,374.3964286,16.58333333,6.239940476
Boğaziçi University,39,314,101.4285714,8.051282051,2.600732601
University of Maryland - College Park,1740,84123,26885.97305,48.34655172,15.45170865
University of Oxford,804,26845,8924.198557,33.38930348,11.09974945
IIT Delhi,260,5077,1634.066373,19.52692308,6.284870667
Northeastern University,1136,31132,8945.065813,27.40492958,7.874177652
University of Helsinki,183,2187,634.2535354,11.95081967,3.465866313
Chalmers/GU,199,1866,688.956746,9.376884422,3.462094201
Rutgers University,890,29681,9555.388248,33.3494382,10.73639129
University of Montreal,356,16296,4521.409163,45.7752809,12.70058754
University of Colorado Boulder,659,11843,3807.633683,17.97116844,5.777896332
Washington University in St. Louis,381,11688,3950.063095,30.67716535,10.36761967
University of Melbourne,485,12088,3381.995507,24.92371134,6.973186613
University of Chicago,758,28640,7454.725209,37.78364116,9.834729828
Yale University,586,18431,6382.034931,31.45221843,10.89084459
UNSW,508,19472,5345.159812,38.33070866,10.52196813
University of Pennsylvania,1460,88368,29486.30687,60.5260274,20.19610059
University of California - San Diego,2170,96519,30585.52824,44.47880184,14.09471348
Stanford University,2255,147737,44693.51822,65.51529933,19.81974201
University of Notre Dame,263,5810,1562.584107,22.09125475,5.941384437
University of Iowa,161,3191,949.2289683,19.81987578,5.895832101
Princeton University,1055,40855,13302.57382,38.72511848,12.60907471
Carnegie Mellon University,4013,230453,74515.41882,57.42661351,18.56850706
University of Copenhagen,333,9953,4341.992624,29.88888889,13.03901689
Pennsylvania State University,1018,45181,11800.48124,44.38212181,11.59182833
Carleton University,148,2537,1104.435209,17.14189189,7.462400062
University of Florida,304,5921,1801.167921,19.47697368,5.924894477
Michigan State University,337,10029,2661.024603,29.75964392,7.89621544
George Washington University,121,1884,681.6424603,15.57024793,5.633408763
Texas Tech University,35,339,122.4952381,9.685714286,3.499863946
University of New Mexico,140,2017,764.1619408,14.40714286,5.458299577
Texas A&M University,620,14108,4501.909539,22.75483871,7.261144417
CUNY,240,4504,1823.569223,18.76666667,7.598205095
University of Ottawa,83,588,190.547619,7.084337349,2.295754446
Cornell University,1895,86428,29764.02449,45.60844327,15.70660923
National University of Singapore,1291,58968,16992.2932,45.67621998,13.16211712
IIT Ropar,7,19,6.166666667,2.714285714,0.880952381
University of Warwick,287,6934,2245.47803,24.16027875,7.823965262
IIT Bombay,341,11306,3947.830952,33.15542522,11.57721687
University of Minnesota,757,28782,9508.131295,38.02113606,12.56027912
Johns Hopkins University,704,38836,13304.96715,55.16477273,18.89910106
IIIT Hyderabad,150,4347,1318.34881,28.98,8.788992063
IIT Indore,2,2,0.375,1,0.1875
University of California - Santa Cruz,693,18490,6609.260859,26.68109668,9.537172956
IIT Kharagpur,104,1137,284.3642857,10.93269231,2.734271978
Northern Arizona University,34,313,85.00873016,9.205882353,2.500256769
University of Zurich,173,5038,1509.302778,29.12138728,8.724293513
University of Alberta,668,25220,8969.549206,37.75449102,13.42746887
Wayne State University,71,607,175.1261905,8.549295775,2.466566063
Weizmann Institute of Science,666,34025,14337.17857,51.08858859,21.52729515
Masaryk University,85,814,223.7412698,9.576470588,2.632250233
University of Birmingham,211,2897,987.3992063,13.72985782,4.679617092
University of Lübeck,76,558,204.6799784,7.342105263,2.69315761
Karlsruhe Institute of Technology (KIT),289,12540,3608.402381,43.39100346,12.48582139
Georgia Institute of Technology,2000,82613,25043.61003,41.3065,12.52180502
Chinese University of Hong Kong,825,47189,12481.11404,57.19878788,15.12862308
KU Leuven,302,7058,2155.879365,23.37086093,7.138673394
Univ. of Illinois at Urbana-Champaign,2338,126546,37212.94418,54.1257485,15.9165715
Massachusetts Institute of Technology,2545,163300,51318.59272,64.16502947,20.16447651
Boston University,624,19715,6201.395725,31.59455128,9.938134175
Arizona State University,448,12452,3876.217387,27.79464286,8.652270953
University of Pittsburgh,520,21732,6887.899725,41.79230769,13.24596101
Concordia University,83,524,196.9619048,6.313253012,2.373034997
University of Edinburgh,1013,33385,12012.62975,32.95656466,11.85846964
Tel Aviv University,1126,57190,18571.33308,50.79040853,16.49319101
University of Massachusetts Amherst,1062,38592,12507.49297,36.33898305,11.77730035
IPI PAN,10,27,13.26666667,2.7,1.326666667
University of Southampton,155,1596,442.4595238,10.29677419,2.854577573
University of Texas at Austin,1118,44604,15920.25018,39.89624329,14.23993755
Univ. of Maryland - Baltimore County,140,1736,576.8884921,12.4,4.120632086
California Institute of Technology,312,14479,5064.408333,46.40705128,16.23207799
TU Berlin,255,7233,2277.569444,28.36470588,8.93164488
Nanyang Technological University,699,23464,5838.280664,33.56795422,8.352332852
University of Delaware,170,4083,1322.490079,24.01764706,7.779353408
University of Louisville,13,33,15.01666667,2.538461538,1.155128205
University of Haifa,187,2820,959.252381,15.0802139,5.129691877
Max Planck Society,999,71002,19949.32169,71.07307307,19.96929099
University of California - Irvine,1090,32623,11742.3423,29.9293578,10.7727911
University of Wisconsin - Madison,1217,54126,15908.15539,44.47493837,13.07161495
University of Utah,720,20637,5962.485462,28.6625,8.281229808
University of California - Berkeley,2524,184472,54669.61902,73.08716323,21.65991245
University of Sheffield,127,1056,393.1357143,8.31496063,3.095556805
IISc Bangalore,314,6044,1964.197619,19.24840764,6.25540643
SUTD,129,2145,729.1265873,16.62790698,5.652144088
DAIICT,2,2,0.833333333,1,0.416666667
University of California - Davis,565,14781,4913.841939,26.16106195,8.697065378
University of California - Los Angeles,1215,72843,23413.97055,59.95308642,19.27075765
Middle East Technical University,55,446,161.5833333,8.109090909,2.937878788
Universidad de Zaragoza,45,674,132.1333333,14.97777778,2.936296296
Sapienza University of Rome,442,11604,3833.727778,26.25339367,8.673592257
University of Wisconsin - Milwaukee,39,246,111.7212766,6.307692308,2.864648118
Lancaster University,156,1617,364.841342,10.36538462,2.338726551
University of York,206,4559,1899.52215,22.13106796,9.220981311
University of Surrey,204,5703,1589.303283,27.95588235,7.790702367
ETH Zurich,1340,92780,26287.37026,69.23880597,19.61744049
Virginia Tech,404,7480,2065.662085,18.51485149,5.113024963
Technion,1371,45362,15793.55577,33.08679796,11.51973433
McGill University,340,11683,4336.974717,34.36176471,12.75580799
Stevens Institute of Technology,184,2435,764.2436508,13.23369565,4.153498102
University of South Florida,81,956,348.7399878,11.80246914,4.305431948
University of Washington,1965,99610,28813.67241,50.69211196,14.66344652
UFMG,231,2969,775.70671,12.85281385,3.358037705
College of William and Mary,135,2295,512.7813492,17,3.798380364
Tilburg University,21,130,58.63333333,6.19047619,2.792063492
West Virginia University,64,937,299.6583333,14.640625,4.682161458
Northwestern University,714,17632,5467.702411,24.69467787,7.657846515
USP-ICMC,46,232,57.79285714,5.043478261,1.25636646
University of Buenos Aires,68,861,246,12.66176471,3.617647059
Singapore Management University,526,14614,3929.47482,27.78326996,7.470484448
Ben-Gurion University of the Negev,209,4657,1688.900325,22.28229665,8.080862797
University of Windsor,10,68,34.38333333,6.8,3.438333333
TU Darmstadt,473,20496,5944.779365,43.33192389,12.5682439
Qatar Computing Research Institute,212,5601,1432.20119,26.41981132,6.755665993
Queen’s University,129,1703,578.6785714,13.20155039,4.485880399
University of California - Riverside,699,18803,6237.820346,26.89985694,8.923920381
Purdue University,1106,35732,10347.06669,32.3074141,9.355394841
University of California - Merced,181,11847,3525.866126,65.45303867,19.47992335
University at Buffalo,478,11352,3228.750104,23.74895397,6.75470733
National Taiwan University,384,12195,3606.327092,31.7578125,9.391476803
Universidad de Chile,55,637,230.1,11.58181818,4.183636364
UNC - Charlotte,88,1226,415.6349206,13.93181818,4.723124098
University of Virginia,607,17880,5137.016595,29.45634267,8.462959793
University of Southern California,1056,44555,14543.867,42.19223485,13.77260133
York University,190,3930,1366.940659,20.68421053,7.194424523
University of Essex,77,890,336.9428571,11.55844156,4.375881262
Qatar University,22,102,26.54285714,4.636363636,1.206493506
Beihang University,318,5755,1206.565873,18.09748428,3.794232305
University of Bristol,197,2791,872.6121739,14.16751269,4.429503421
Victoria University of Wellington,66,418,126.05,6.333333333,1.909848485
The Hong Kong Polytechnic University,180,4670,1143.816758,25.94444444,6.354537546
University of Western Australia,47,591,186.4944444,12.57446809,3.967966903
Rice University,512,27740,10782.98855,54.1796875,21.06052452
TU Dresden,166,2846,837.165565,17.14457831,5.043166054
Aalto University,276,5430,1638.66761,19.67391304,5.937201486
Tokyo Institute of Technology,216,3050,912.4967532,14.12037037,4.224522006
University of Tokyo,914,53645,15636.41291,58.69256018,17.10767277
Kyoto University,254,4890,1729.849123,19.2519685,6.810429617
Ontario Tech University,20,137,42.16904762,6.85,2.108452381
Ecole Normale Superieure de Cachan,163,3956,1534.916667,24.26993865,9.416666667
Université Jean Monnet,54,501,153.9,9.277777778,2.85
University of Vermont,19,119,33.43679654,6.263157895,1.759831397
University of Sydney,386,21268,5910.801984,55.0984456,15.31295851
University of St Andrews,66,636,242.8650794,9.636363636,3.67977393
University of Cambridge,478,9316,2960.735285,19.48953975,6.194006872
Oregon State University,403,11725,3823.441363,29.0942928,9.487447551
TU Delft,289,2955,880.3618076,10.22491349,3.046234629
University of British Columbia,921,27564,9022.134296,29.92833876,9.796019866
Florida State University,195,2943,852.7671717,15.09230769,4.373164983
USP,39,165,57.17619048,4.230769231,1.466056166
University of Toronto,1308,45432,14286.23598,34.73394495,10.92219876
McMaster University,40,210,75.05714286,5.25,1.876428571
University of Michigan,1844,87695,27659.03956,47.55694143,14.99947915
Australian National University,421,11494,4017.949067,27.30166271,9.543822011
IMDEA Networks Institute,57,576,110.8600122,10.10526316,1.944912495
University of Waikato,56,633,199.9281746,11.30357143,3.570145975
Heriot-Watt University,96,866,293.4630952,9.020833333,3.056907242
HKUST,1015,52535,16005.68214,51.75862069,15.76914497
Polytechnic University of Catalonia,250,10350,2623.829589,41.4,10.49531835
Ecole Normale Superieure,461,21562,7471.008838,46.77223427,16.20609292
Sabancı University,29,328,115.525,11.31034483,3.98362069
University of Houston,151,1821,567.8713203,12.05960265,3.760737221
University of Kassel,20,90,33.59329004,4.5,1.679664502
PUC-RIO,52,339,134.0761905,6.519230769,2.578388278
Virginia Commonwealth University,46,443,97.70661838,9.630434783,2.124056921
Royal Holloway University of London,114,728,258.0738095,6.385964912,2.263805347
Dartmouth College,218,5132,1369.229521,23.5412844,6.280869362
University of Murcia,34,264,80.21666667,7.764705882,2.359313725
LMU Munich,312,11560,3958.674542,37.05128205,12.68805943
EPFL,1063,45376,14051.45723,42.68673565,13.21868037
Monash University,309,6083,1608.834285,19.68608414,5.206583445
University of Leeds,122,1465,463.3063492,12.00819672,3.797593026
TU Chemnitz,38,270,87.0952381,7.105263158,2.29197995
University of Queensland,162,4585,995.5392857,28.30246914,6.145304233
Universidade de Lisboa,393,6334,1861.77205,16.11704835,4.737333461
IMDEA Software Institute,130,1817,510.2305556,13.97692308,3.924850427
University of Warsaw,253,3668,1268.365909,14.49802372,5.013303989
City University of London,87,908,262.2972222,10.43678161,3.0149106
North Carolina State University,420,9139,2919.442946,21.75952381,6.951054633
Politecnico di Milano,254,3603,1152.497655,14.18503937,4.537392343
Scuola Superiore Sant'Anna,70,1660,580.397619,23.71428571,8.291394558
Indiana University,629,14204,3880.240043,22.58187599,6.168903089
ETS Montreal,33,246,67.65952381,7.454545455,2.0502886
University of Glasgow,164,2156,682.7309524,13.14634146,4.162993612
University of Bath,134,1337,401.8768398,9.97761194,2.999080894
University of Pisa,149,1540,564.7785714,10.33557047,3.790460211
University of Luxembourg,93,1646,569.9876984,17.69892473,6.128899983
University of Athens,146,4565,1646.352381,31.26712329,11.27638617
Hebrew University of Jerusalem,850,30812,11968.43666,36.24941176,14.08051372
University of Victoria,120,1258,432.2571429,10.48333333,3.602142857
Georgia State University,38,196,51.11960784,5.157894737,1.345252838
JKU Linz,105,1106,398.502381,10.53333333,3.795260771
Graz University of Technology,317,10895,3281.574856,34.36908517,10.35197115
Georgetown University,169,2823,836.4920635,16.70414201,4.94965718
Clemson University,138,1081,263.8966728,7.833333333,1.91229473
University of Halle-Wittenberg,22,131,36.1,5.954545455,1.640909091
University of Augsburg,36,257,94.35378788,7.138888889,2.620938552
Saarland University,302,5653,1751.420635,18.71854305,5.799406076
Ruhr-University Bochum,132,3835,1027.444625,29.0530303,7.7836714
Goethe University Frankfurt,93,1397,514.5083333,15.02150538,5.53234767
University of Salzburg,76,807,250.8238095,10.61842105,3.300313283
University of Arkansas,54,495,145.3666667,9.166666667,2.691975309
Rochester Institute of Technology,189,1720,529.3376374,9.100529101,2.80072824
TU Munich,720,44336,12759.67894,61.57777778,17.7217763
DePaul University,71,439,151.5357143,6.183098592,2.134305835
Humboldt University of Berlin,82,958,333.7297619,11.68292683,4.069875145
University of Connecticut,192,4256,1211.239802,22.16666667,6.308540638
University of Göttingen,46,918,260.7083333,19.95652174,5.667572464
Hamburg University of Technology,25,130,59.56666667,5.2,2.382666667
TU Eindhoven,123,1345,593.3785714,10.93495935,4.824216028
University of North Carolina,559,22111,6745.131508,39.55456172,12.06642488
University of Würzburg,43,397,99.12307692,9.23255814,2.305187835
Columbia University,1366,63299,23150.18374,46.33894583,16.94742587
Uppsala University,243,4163,1265.273413,17.13168724,5.206886472
Birkbeck University of London,128,1616,547.2321429,12.625,4.275251116
University College London,694,16041,4736.507264,23.11383285,6.824938421
UFRJ,24,58,17.6952381,2.416666667,0.737301587
CRIStAL,252,2819,864.584127,11.18650794,3.430889393
UNICAMP,38,124,41.88625541,3.263157895,1.102269879
NTUA,82,942,303.1785714,11.48780488,3.697299652
Maastricht University,29,119,39.26190476,4.103448276,1.353858785
NTNU,52,241,80.1007326,4.634615385,1.540398704
King's College London,167,1433,489.1702381,8.580838323,2.929163102
University of L'Aquila,23,103,29.40833333,4.47826087,1.278623188
University of Adelaide,365,22287,5925.019141,61.06027397,16.23292915
University of Waterloo,1050,23229,7985.327778,22.12285714,7.605074074
University of Marburg,54,870,304.3714286,16.11111111,5.636507937
University of Salerno,146,2145,626.3928571,14.69178082,4.290362035
University of New Brunswick,27,207,54.86666667,7.666666667,2.032098765
University of Cincinnati,37,191,58.28076923,5.162162162,1.575155925
Michigan Technological University,48,388,126.215873,8.083333333,2.629497354
NJIT,186,2644,769.8393855,14.21505376,4.138921427
University of Texas at San Antonio,91,971,293.6547619,10.67032967,3.226975406
Drexel University,79,795,282.8333333,10.06329114,3.580168776
Florida Atlantic University,61,927,324.8388889,15.19672131,5.325227687
KAIST,1040,29582,7827.769489,28.44423077,7.526701432
UFRGS,125,919,249.9089827,7.352,1.999271861
Sharif University of Technology,38,292,81,7.684210526,2.131578947
University of Otago,17,77,12.34166667,4.529411765,0.725980392
Open University UK,106,1046,244.0269841,9.867924528,2.30214136
University of Liverpool,287,4342,1396.900794,15.12891986,4.867250152
New York University,1015,31162,10409.31456,30.70147783,10.25548232
University of Manchester,125,1057,314.9583333,8.456,2.519666667
University of Oregon,133,1499,457.8490537,11.27067669,3.442474088
Stony Brook University,847,23493,6596.473596,27.73671783,7.788044387
University of Texas at Arlington,359,13167,3788.634299,36.67688022,10.55329888
University of Arizona,301,4909,1674.258622,16.3089701,5.562321003
Koç University,21,84,26.24761905,4,1.249886621
University of Texas at Dallas,477,12026,4767.288167,25.21174004,9.994314816
IIIT Delhi,74,563,148.1832897,7.608108108,2.002476887
Aberystwyth University,22,144,38.92857143,6.545454545,1.769480519
Utah State University,31,232,103.5563492,7.483870968,3.340527394
University of California - Santa Barbara,888,43646,11468.06672,49.1509009,12.91448955
Shenzhen University,118,1781,333.0873016,15.09322034,2.822773742
American University of Beirut,43,430,111.6795094,10,2.597197893
IIT Kanpur,177,2259,802.089881,12.76271186,4.531581248
Bar-Ilan University,467,15840,5700.349328,33.91862955,12.20631548
University of Louisiana - Lafayette,87,1624,471.5546898,18.66666667,5.420168848
University of Tennessee,191,3706,1292.840801,19.40314136,6.768800005
Utrecht University,97,814,254.6642857,8.391752577,2.625405007
Boise State University,30,108,34.19761905,3.6,1.139920635
University of South Carolina,171,4061,1252.74675,23.74853801,7.326004389
Loughborough University,21,55,17.41666667,2.619047619,0.829365079
Massey University,31,202,61.09761905,6.516129032,1.970890937
Ariel University,63,546,183.4333333,8.666666667,2.911640212
IIT (BHU) Varanasi,3,3,1.333333333,1,0.444444444
University of Central Florida,377,12472,4059.860409,33.08222812,10.7688605
University of Wyoming,15,93,25.4034632,6.2,1.693564214
Brown University,681,23461,8333.02095,34.45080764,12.2364478
University of Oklahoma,41,375,144.9142857,9.146341463,3.534494774
UFF,16,34,8.380952381,2.125,0.523809524
Rensselaer Polytechnic Institute,204,5064,2046.483333,24.82352941,10.03178105
IIT Jodhpur,25,205,54.36666667,8.2,2.174666667
Kyungpook National University,32,146,35.91904762,4.5625,1.122470238
Washington State University,135,1680,462.0657648,12.44444444,3.422709369
Louisiana State University - Baton Rouge,39,294,81.85992063,7.538461538,2.098972324
University of Exeter,24,147,41.95833333,6.125,1.748263889
Aalborg University,182,5179,1412.395238,28.45604396,7.760413396
Aarhus University,394,11689,4405.290476,29.66751269,11.18094029
DTU,102,932,354.6928571,9.137254902,3.477380952
Lund University,39,1115,294.5345238,28.58974359,7.552167277
University of Manitoba,75,1773,480.6571429,23.64,6.408761905
Queen Mary University of London,143,4090,1302.129365,28.6013986,9.105799756
Jacobs University Bremen,25,804,282.4833333,32.16,11.29933333
University of Stuttgart,312,9230,3197.619001,29.58333333,10.24877885
TU Kaiserslautern,185,2866,922.6543956,15.49189189,4.987321057
Charles University,53,380,118.9547619,7.169811321,2.24442947
University of Tübingen,269,6981,2282.689084,25.95167286,8.485833027
University of Bamberg,19,61,28.33333333,3.210526316,1.49122807
University of Rostock,21,100,27.56346154,4.761904762,1.312545788
University of Mainz,69,749,228.0759158,10.85507246,3.305448054
Bauhaus University Weimar,43,721,207.7404762,16.76744186,4.831173865
University of Erlangen–Nuremberg,129,1532,411.1997835,11.87596899,3.187595221
University of Siegen,47,313,132.9238095,6.659574468,2.82816616
Cyprus University of Technology,31,194,71.88560606,6.258064516,2.318890518
University of Leipzig,85,1436,532.8016234,16.89411765,6.268254393
University of Magdeburg,58,922,258.7035714,15.89655172,4.460406404
University of Freiburg,274,23896,6693.485317,87.21167883,24.42877853
Hasso Plattner Institute,131,4007,1096.192466,30.58778626,8.367881419
University of Nevada Las Vegas,13,48,16.66515152,3.692307692,1.281934732
University of Oldenburg,48,910,289.6715729,18.95833333,6.034824435
CISPA Helmholtz Center,324,10540,3207.601587,32.5308642,9.900004899
Simon Fraser University,622,21423,6095.42384,34.44212219,9.799716785
Durham University,55,328,109.8845238,5.963636364,1.997900433
Middlesex University,52,336,97.9702381,6.461538462,1.88404304
Tsinghua University,1640,62700,15422.90124,38.23170732,9.404208072
University of Southern Mississippi,19,208,95.08333333,10.94736842,5.004385965
University of Nottingham,238,5567,1247.96104,23.3907563,5.24353378
University of Kentucky,146,3765,1051.999278,25.78767123,7.20547451
Portland State University,86,1139,374.2995798,13.24418605,4.352320696
Emory University,107,1550,507.5475469,14.48598131,4.743435018
Memorial University of Newfoundland,20,61,25.55952381,3.05,1.27797619
University of Bergen,95,1703,486.55,17.92631579,5.121578947
Old Dominion University,41,231,83.55,5.634146341,2.037804878
IT University of Copenhagen,153,1921,744.2809524,12.55555556,4.864581388
University of Auckland,76,371,147.3060606,4.881578947,1.93823764
University of Canterbury,36,982,284.5809524,27.27777778,7.905026455
University of Kansas,82,768,257.0857143,9.365853659,3.135191638
University of Kent,78,532,162.7971989,6.820512821,2.087143575
